source_system,source_occ_code,source_occ_title,census_occ_code_range,soc_major_group_code,soc_major_group_title,occ22_id,occ22_label,is_military_excluded,notes
CPS_PRDTOCC1,1,Management occupations,0010-0440,11-0000,Management Occupations,1,Management Occupations,false,Census CPS Occupation Codes PDF Appendix 10; PRDTOCC1 Basic CPS
CPS_PRDTOCC1,2,Business and financial operations occupations,0500-0960,13-0000,Business and Financial Operations Occupations,2,Business and Financial Operations Occupations,false,Census CPS Occupation Codes PDF Appendix 10; PRDTOCC1 Basic CPS
CPS_PRDTOCC1,3,Computer and mathematical science occupations,1005-1240,15-0000,Computer and Mathematical Occupations,3,Computer and Mathematical Occupations,false,Census CPS Occupation Codes PDF Appendix 10; PRDTOCC1 Basic CPS
CPS_PRDTOCC1,4,Architecture and engineering occupations,1305-1560,17-0000,Architecture and Engineering Occupations,4,Architecture and Engineering Occupations,false,Census CPS Occupation Codes PDF Appendix 10; PRDTOCC1 Basic CPS
CPS_PRDTOCC1,5,"Life, physical, and social science occupations",1600-1980,19-0000,"Life, Physical, and Social Science Occupations",5,"Life, Physical, and Social Science Occupations",false,Census CPS Occupation Codes PDF Appendix 10; PRDTOCC1 Basic CPS
CPS_PRDTOCC1,6,Community and social service occupation,2001-2060,21-0000,Community and Social Service Occupations,6,Community and Social Service Occupations,false,Census CPS Occupation Codes PDF Appendix 10; PRDTOCC1 Basic CPS
CPS_PRDTOCC1,7,Legal occupations,2100-2180,23-0000,Legal Occupations,7,Legal Occupations,false,Census CPS Occupation Codes PDF Appendix 10; PRDTOCC1 Basic CPS
CPS_PRDTOCC1,8,"Education, training, and library occupations",2205-2550,25-0000,Educational Instruction and Library Occupations,8,Educational Instruction and Library Occupations,false,Census CPS Occupation Codes PDF Appendix 10; PRDTOCC1 Basic CPS
CPS_PRDTOCC1,9,"Arts, design, entertainment, sports, and media occupations",2600-2970,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",9,"Arts, Design, Entertainment, Sports, and Media Occupations",false,Census CPS Occupation Codes PDF Appendix 10; PRDTOCC1 Basic CPS
CPS_PRDTOCC1,10,Healthcare practitioner and technical occupations,3000-3550,29-0000,Healthcare Practitioners and Technical Occupations,10,Healthcare Practitioners and Technical Occupations,false,Census CPS Occupation Codes PDF Appendix 10; PRDTOCC1 Basic CPS
CPS_PRDTOCC1,11,Healthcare support occupations,3600-3655,31-0000,Healthcare Support Occupations,11,Healthcare Support Occupations,false,Census CPS Occupation Codes PDF Appendix 10; PRDTOCC1 Basic CPS
CPS_PRDTOCC1,12,Protective service occupations,3700-3960,33-0000,Protective Service Occupations,12,Protective Service Occupations,false,Census CPS Occupation Codes PDF Appendix 10; PRDTOCC1 Basic CPS
CPS_PRDTOCC1,13,Food preparation and serving related occupations,4000-4160,35-0000,Food Preparation and Serving Related Occupations,13,Food Preparation and Serving Related Occupations,false,Census CPS Occupation Codes PDF Appendix 10; PRDTOCC1 Basic CPS
CPS_PRDTOCC1,14,Building and grounds cleaning and maintenance occupations,4200-4255,37-0000,Building and Grounds Cleaning and Maintenance Occupations,14,Building and Grounds Cleaning and Maintenance Occupations,false,Census CPS Occupation Codes PDF Appendix 10; PRDTOCC1 Basic CPS
CPS_PRDTOCC1,15,Personal care and service occupations,4300-4655,39-0000,Personal Care and Service Occupations,15,Personal Care and Service Occupations,false,Census CPS Occupation Codes PDF Appendix 10; PRDTOCC1 Basic CPS
CPS_PRDTOCC1,16,Sales and related occupations,4700-4965,41-0000,Sales and Related Occupations,16,Sales and Related Occupations,false,Census CPS Occupation Codes PDF Appendix 10; PRDTOCC1 Basic CPS
CPS_PRDTOCC1,17,Office and administrative support occupations,5000-5940,43-0000,Office and Administrative Support Occupations,17,Office and Administrative Support Occupations,false,Census CPS Occupation Codes PDF Appendix 10; PRDTOCC1 Basic CPS
