source_program,source_code,source_label,source_level,naics_reference,sector6_code,sector6_label,mapping_rule,is_in_scope
BTOS,11,,naics2,11,,,out_of_scope_six_sector,0
BTOS,21,,naics2,21,,,out_of_scope_six_sector,0
BTOS,22,,naics2,22,,,out_of_scope_six_sector,0
BTOS,23,,naics2,23,,,out_of_scope_six_sector,0
BTOS,31,,naics2,31,MFG,Manufacturing,naics2_manufacturing,1
BTOS,42,,naics2,42,,,out_of_scope_six_sector,0
BTOS,44,,naics2,44,RET,Retail trade,naics2_retail,1
BTOS,48,,naics2,48,,,out_of_scope_six_sector,0
BTOS,51,,naics2,51,INF,Information,naics2_information,1
BTOS,52,,naics2,52,FAS,Financial activities,naics2_finance_or_real_estate,1
BTOS,53,,naics2,53,FAS,Financial activities,naics2_finance_or_real_estate,1
BTOS,54,,naics2,54,PBS,Professional and business services,naics2_professional_management_admin,1
BTOS,55,,naics2,55,PBS,Professional and business services,naics2_professional_management_admin,1
BTOS,56,,naics2,56,PBS,Professional and business services,naics2_professional_management_admin,1
BTOS,61,,naics2,61,PBS,Professional and business services,naics2_educational_services_maps_to_PBS,1
BTOS,62,,naics2,62,HCS,Health care and social assistance,naics2_health_social_assistance,1
BTOS,71,,naics2,71,,,out_of_scope_six_sector,0
BTOS,72,,naics2,72,,,out_of_scope_six_sector,0
BTOS,81,,naics2,81,,,out_of_scope_six_sector,0
BTOS,XX,,naics2,XX,,,btos_suppressed_or_invalid_sector,0
BTOS,112,,naics3,112,,,out_of_scope_six_sector_from_naics3,0
BTOS,113,,naics3,113,,,out_of_scope_six_sector_from_naics3,0
BTOS,114,,naics3,114,,,out_of_scope_six_sector_from_naics3,0
BTOS,115,,naics3,115,,,out_of_scope_six_sector_from_naics3,0
BTOS,210,,naics3,210,,,out_of_scope_six_sector_from_naics3,0
BTOS,211,,naics3,211,,,out_of_scope_six_sector_from_naics3,0
BTOS,212,,naics3,212,,,out_of_scope_six_sector_from_naics3,0
BTOS,213,,naics3,213,,,out_of_scope_six_sector_from_naics3,0
BTOS,21X,,naics3,21X,,,out_of_scope_six_sector_from_naics3,0
BTOS,220,,naics3,220,,,out_of_scope_six_sector_from_naics3,0
