month,origin_state,destination_state,weighted_transition_count
2019-01,nilf,nilf,63228493.9901
2019-01,nilf,occ22_01,219739.6512
2019-01,nilf,occ22_02,134280.0622
2019-01,nilf,occ22_03,54669.806599999996
2019-01,nilf,occ22_04,37259.9795
2019-01,nilf,occ22_05,40625.7614
2019-01,nilf,occ22_06,55267.7651
2019-01,nilf,occ22_07,20880.1019
2019-01,nilf,occ22_08,275951.2196
2019-01,nilf,occ22_09,117842.31970000001
2019-01,nilf,occ22_10,110913.4561
2019-01,nilf,occ22_11,87276.3934
2019-01,nilf,occ22_12,25680.4114
2019-01,nilf,occ22_13,269966.5706
2019-01,nilf,occ22_14,149770.9639
2019-01,nilf,occ22_15,192018.8299
2019-01,nilf,occ22_16,329130.6316
2019-01,nilf,occ22_17,403857.3962
2019-01,nilf,occ22_18,40690.0804
2019-01,nilf,occ22_19,166417.5907
2019-01,nilf,occ22_20,76340.965
2019-01,nilf,occ22_21,122847.435
2019-01,nilf,occ22_22,275680.0285
2019-01,nilf,unemployed,1217903.8035
2019-01,occ22_01,nilf,281188.3846
2019-01,occ22_01,occ22_01,12316186.0393
2019-01,occ22_01,occ22_02,76395.4248
2019-01,occ22_01,occ22_03,25959.054799999998
2019-01,occ22_01,occ22_04,29747.118599999998
2019-01,occ22_01,occ22_05,3381.1432
2019-01,occ22_01,occ22_06,2121.7642
2019-01,occ22_01,occ22_07,11179.7497
2019-01,occ22_01,occ22_08,26168.107900000003
2019-01,occ22_01,occ22_09,35542.317500000005
2019-01,occ22_01,occ22_10,41024.0136
2019-01,occ22_01,occ22_11,4386.8109
2019-01,occ22_01,occ22_12,22708.6802
2019-01,occ22_01,occ22_13,16404.6194
2019-01,occ22_01,occ22_14,10923.2113
2019-01,occ22_01,occ22_15,20604.3802
2019-01,occ22_01,occ22_16,105807.9618
2019-01,occ22_01,occ22_17,122790.2495
2019-01,occ22_01,occ22_18,4149.3515
2019-01,occ22_01,occ22_19,53710.0426
2019-01,occ22_01,occ22_20,23312.2562
2019-01,occ22_01,occ22_21,23997.2356
2019-01,occ22_01,occ22_22,40192.7841
2019-01,occ22_01,unemployed,72644.8027
2019-01,occ22_02,nilf,88284.2118
2019-01,occ22_02,occ22_01,78243.0386
2019-01,occ22_02,occ22_02,5125979.8667
2019-01,occ22_02,occ22_03,14228.7362
2019-01,occ22_02,occ22_04,11205.7721
2019-01,occ22_02,occ22_05,503.6887
2019-01,occ22_02,occ22_06,15429.8487
2019-01,occ22_02,occ22_07,6890.5925
2019-01,occ22_02,occ22_08,19771.6681
2019-01,occ22_02,occ22_09,11149.2911
2019-01,occ22_02,occ22_10,9220.8365
2019-01,occ22_02,occ22_11,2822.3422
2019-01,occ22_02,occ22_12,814.858
2019-01,occ22_02,occ22_13,12307.4686
2019-01,occ22_02,occ22_14,3473.313
2019-01,occ22_02,occ22_15,11853.4128
2019-01,occ22_02,occ22_16,25578.4381
2019-01,occ22_02,occ22_17,72775.8621
2019-01,occ22_02,occ22_19,11577.058700000001
2019-01,occ22_02,occ22_20,2806.7766
2019-01,occ22_02,occ22_21,9031.1906
2019-01,occ22_02,occ22_22,10321.444
2019-01,occ22_02,unemployed,28098.0872
2019-01,occ22_03,nilf,58372.2489
2019-01,occ22_03,occ22_01,38957.5577
2019-01,occ22_03,occ22_02,23873.153
2019-01,occ22_03,occ22_03,3436704.3912
2019-01,occ22_03,occ22_04,17032.3907
2019-01,occ22_03,occ22_05,253.4688
2019-01,occ22_03,occ22_07,3953.3781
2019-01,occ22_03,occ22_08,12030.5154
2019-01,occ22_03,occ22_10,10031.240099999999
2019-01,occ22_03,occ22_12,836.1877
2019-01,occ22_03,occ22_13,6863.1661
2019-01,occ22_03,occ22_15,5101.3817
2019-01,occ22_03,occ22_16,27265.3716
2019-01,occ22_03,occ22_17,21490.0779
2019-01,occ22_03,occ22_19,3697.9837
2019-01,occ22_03,occ22_20,13419.9731
2019-01,occ22_03,occ22_21,7917.460300000001
2019-01,occ22_03,occ22_22,5033.034
2019-01,occ22_03,unemployed,15621.3509
2019-01,occ22_04,nilf,38385.895000000004
2019-01,occ22_04,occ22_01,40495.6749
2019-01,occ22_04,occ22_02,16334.416799999999
2019-01,occ22_04,occ22_03,30909.5271
2019-01,occ22_04,occ22_04,2223181.8155
2019-01,occ22_04,occ22_05,5984.0637
2019-01,occ22_04,occ22_09,27206.642
2019-01,occ22_04,occ22_10,13343.569
2019-01,occ22_04,occ22_12,792.3161
2019-01,occ22_04,occ22_13,764.0467
2019-01,occ22_04,occ22_14,6191.6185000000005
2019-01,occ22_04,occ22_15,5049.5921
2019-01,occ22_04,occ22_16,7175.094599999999
2019-01,occ22_04,occ22_17,13776.8866
2019-01,occ22_04,occ22_19,15962.2543
2019-01,occ22_04,occ22_20,7159.5587000000005
2019-01,occ22_04,occ22_21,11458.8501
2019-01,occ22_04,occ22_22,7591.0848000000005
2019-01,occ22_04,unemployed,8133.8887
2019-01,occ22_05,nilf,19300.7013
2019-01,occ22_05,occ22_01,6635.4748
2019-01,occ22_05,occ22_02,753.8785
2019-01,occ22_05,occ22_03,2029.0449
2019-01,occ22_05,occ22_04,3859.6855
2019-01,occ22_05,occ22_05,1043170.2081
2019-01,occ22_05,occ22_06,3287.9631
2019-01,occ22_05,occ22_08,8336.0828
2019-01,occ22_05,occ22_09,444.2105
2019-01,occ22_05,occ22_10,3364.5637
2019-01,occ22_05,occ22_15,3422.9821
2019-01,occ22_05,occ22_16,3551.8458
2019-01,occ22_05,occ22_19,3768.833
2019-01,occ22_05,occ22_21,2258.7531
2019-01,occ22_05,unemployed,8575.0103
2019-01,occ22_06,nilf,28015.783
2019-01,occ22_06,occ22_01,14565.1498
2019-01,occ22_06,occ22_02,15675.586800000001
2019-01,occ22_06,occ22_03,4894.2943
2019-01,occ22_06,occ22_06,1766221.2774
2019-01,occ22_06,occ22_08,3623.1977
2019-01,occ22_06,occ22_10,3338.982
2019-01,occ22_06,occ22_11,4683.1285
2019-01,occ22_06,occ22_12,1868.1565999999998
2019-01,occ22_06,occ22_15,21424.3996
2019-01,occ22_06,occ22_16,3963.7255999999998
2019-01,occ22_06,occ22_17,14688.0396
2019-01,occ22_06,occ22_19,2912.4883
2019-01,occ22_06,occ22_21,4488.3057
2019-01,occ22_06,occ22_22,4619.550499999999
2019-01,occ22_06,unemployed,9874.9731
2019-01,occ22_07,nilf,18882.7517
2019-01,occ22_07,occ22_01,24270.2193
2019-01,occ22_07,occ22_02,3604.5877
2019-01,occ22_07,occ22_07,1256196.6305
2019-01,occ22_07,occ22_10,2994.5834
2019-01,occ22_07,occ22_11,4679.2789
2019-01,occ22_07,occ22_12,7308.6921
2019-01,occ22_07,occ22_14,471.6263
2019-01,occ22_07,occ22_16,7356.323200000001
2019-01,occ22_07,occ22_19,4091.3053
2019-01,occ22_07,occ22_21,4037.8142
2019-01,occ22_07,unemployed,5810.400900000001
2019-01,occ22_08,nilf,155176.2916
2019-01,occ22_08,occ22_01,18993.8718
2019-01,occ22_08,occ22_02,8044.4438
2019-01,occ22_08,occ22_03,12326.2271
2019-01,occ22_08,occ22_04,14631.3485
2019-01,occ22_08,occ22_05,4683.1285
2019-01,occ22_08,occ22_06,43874.3895
2019-01,occ22_08,occ22_07,12434.7812
2019-01,occ22_08,occ22_08,6430528.7078
2019-01,occ22_08,occ22_09,3995.1457
2019-01,occ22_08,occ22_10,38682.8232
2019-01,occ22_08,occ22_11,3603.6127
2019-01,occ22_08,occ22_13,14036.019400000001
2019-01,occ22_08,occ22_15,7523.9135
2019-01,occ22_08,occ22_16,13888.131
2019-01,occ22_08,occ22_17,22230.0517
2019-01,occ22_08,occ22_18,3211.8839
2019-01,occ22_08,occ22_19,6510.2414
2019-01,occ22_08,occ22_21,6083.659600000001
2019-01,occ22_08,occ22_22,6487.909799999999
2019-01,occ22_08,unemployed,23885.6616
2019-01,occ22_09,nilf,83844.4117
2019-01,occ22_09,occ22_01,11746.597
2019-01,occ22_09,occ22_02,16993.3371
2019-01,occ22_09,occ22_03,13667.001100000001
2019-01,occ22_09,occ22_07,740.736
