period_start_date,btos_period_id,ai_use_current_rate,ai_use_expected_6m_rate,source_series_id,evidence_directness
2023-09-11,31,0.018,0.044,naics2_XX,direct_published
2023-09-25,32,0.041,0.088,naics2_XX,direct_published
2023-10-09,33,0.018,0.037,naics2_XX,direct_published
2023-10-23,34,0.038,0.056,naics2_XX,direct_published
2023-11-06,35,0.042,0.071,naics2_XX,direct_published
2023-11-20,36,0.031,0.052,naics2_XX,direct_published
2023-12-04,37,0.029,0.074,naics2_XX,direct_published
2023-12-18,38,0.054,0.077,naics2_XX,direct_published
2024-01-01,39,0.016,0.047,naics2_XX,direct_published
2024-01-15,40,0.049,0.079,naics2_XX,direct_published
2024-01-29,41,0.063,0.077,naics2_XX,direct_published
2024-02-12,42,0.055,0.073,naics2_XX,direct_published
2024-02-26,43,0.052,0.074,naics2_XX,direct_published
2024-03-11,44,0.039,0.076,naics2_XX,direct_published
2024-03-25,45,0.034,0.061,naics2_XX,direct_published
2024-04-08,46,0.058,0.086,naics2_XX,direct_published
2024-04-22,47,0.042,0.068,naics2_XX,direct_published
2024-05-06,48,0.058,0.085,naics2_XX,direct_published
2024-05-20,49,0.031,0.054,naics2_XX,direct_published
2024-06-03,50,0.033,0.067,naics2_XX,direct_published
2024-06-17,51,0.033,0.063,naics2_XX,direct_published
2024-07-01,52,0.047,0.078,naics2_XX,direct_published
2024-07-15,53,0.057,0.072,naics2_XX,direct_published
2024-07-29,54,0.059,0.071,naics2_XX,direct_published
2024-08-12,55,0.065,0.094,naics2_XX,direct_published
2024-08-26,56,0.057,0.09,naics2_XX,direct_published
2024-09-09,57,0.064,0.082,naics2_XX,direct_published
2024-09-23,58,0.065,0.085,naics2_XX,direct_published
2024-10-07,59,0.074,0.103,naics2_XX,direct_published
2024-10-21,60,0.064,0.098,naics2_XX,direct_published
2024-11-04,61,0.054,0.079,naics2_XX,direct_published
2024-11-18,62,0.072,0.108,naics2_XX,direct_published
2024-12-02,63,0.082,0.112,naics2_XX,direct_published
2024-12-16,64,0.072,0.11,naics2_XX,direct_published
2024-12-30,65,0.068,0.104,naics2_XX,direct_published
2025-01-13,66,0.057,0.105,naics2_XX,direct_published
2025-01-27,67,0.064,0.1,naics2_XX,direct_published
2025-02-10,68,0.083,0.141,naics2_XX,direct_published
2025-02-24,69,0.078,0.094,naics2_XX,direct_published
2025-03-10,70,0.075,0.111,naics2_XX,direct_published
2025-03-24,71,0.075,0.115,naics2_XX,direct_published
2025-04-07,72,0.078,0.121,naics2_XX,direct_published
2025-04-21,73,0.103,0.135,naics2_XX,direct_published
2025-05-05,74,0.097,0.128,naics2_XX,direct_published
2025-05-19,75,0.095,0.125,naics2_XX,direct_published
2025-06-02,76,0.082,0.112,naics2_XX,direct_published
2025-06-16,77,0.088,0.127,naics2_XX,direct_published
2025-06-30,78,0.127,0.166,naics2_XX,direct_published
2025-07-14,79,0.078,0.125,naics2_XX,direct_published
2025-07-28,80,0.059,0.123,naics2_XX,direct_published
2025-08-11,81,0.082,0.147,naics2_XX,direct_published
2025-08-25,82,0.125,0.181,naics2_XX,direct_published
2025-09-08,83,0.077,0.141,naics2_XX,direct_published
2025-09-22,84,0.081,0.135,naics2_XX,direct_published
2025-11-17,88,0.242,0.337,naics2_XX,direct_published
2025-12-01,89,0.218,0.301,naics2_XX,direct_published
2025-12-15,90,0.263,0.392,naics2_XX,direct_published
2025-12-29,91,0.266,0.392,naics2_XX,direct_published
2026-01-12,92,0.223,0.325,naics2_XX,direct_published
2026-01-26,93,0.251,0.337,naics2_XX,direct_published
2026-02-09,94,0.226,0.266,naics2_XX,direct_published
2026-02-23,95,0.237,0.3,naics2_XX,direct_published
