month,sector6_code,sector6_label,rate_name,rate_value,series_id
2019-01,MFG,Manufacturing,job_openings_rate,3.2,JTS300000000000000JOR
2019-01,MFG,Manufacturing,hires_rate,2.7,JTS300000000000000HIR
2019-01,MFG,Manufacturing,quits_rate,1.7,JTS300000000000000QUR
2019-01,MFG,Manufacturing,layoffs_discharges_rate,0.7,JTS300000000000000LDR
2019-01,INF,Information,job_openings_rate,4.8,JTS510000000000000JOR
2019-01,INF,Information,hires_rate,3.2,JTS510000000000000HIR
2019-01,INF,Information,quits_rate,2.1,JTS510000000000000QUR
2019-01,INF,Information,layoffs_discharges_rate,1.4,JTS510000000000000LDR
2019-01,FAS,Financial activities,job_openings_rate,4.4,JTS510099000000000JOR
2019-01,FAS,Financial activities,hires_rate,2.2,JTS510099000000000HIR
2019-01,FAS,Financial activities,quits_rate,1.2,JTS510099000000000QUR
2019-01,FAS,Financial activities,layoffs_discharges_rate,0.6,JTS510099000000000LDR
2019-01,PBS,Professional and business services,job_openings_rate,6.2,JTS540099000000000JOR
2019-01,PBS,Professional and business services,hires_rate,5.0,JTS540099000000000HIR
2019-01,PBS,Professional and business services,quits_rate,3.0,JTS540099000000000QUR
2019-01,PBS,Professional and business services,layoffs_discharges_rate,1.7,JTS540099000000000LDR
2019-01,HCS,Health care and social assistance,job_openings_rate,5.8,JTS620000000000000JOR
2019-01,HCS,Health care and social assistance,hires_rate,3.1,JTS620000000000000HIR
2019-01,HCS,Health care and social assistance,quits_rate,2.1,JTS620000000000000QUR
2019-01,HCS,Health care and social assistance,layoffs_discharges_rate,0.7,JTS620000000000000LDR
2019-01,RET,Retail trade,job_openings_rate,5.0,JTS440000000000000JOR
2019-01,RET,Retail trade,hires_rate,4.6,JTS440000000000000HIR
2019-01,RET,Retail trade,quits_rate,3.2,JTS440000000000000QUR
2019-01,RET,Retail trade,layoffs_discharges_rate,1.2,JTS440000000000000LDR
2019-02,MFG,Manufacturing,job_openings_rate,3.4,JTS300000000000000JOR
2019-02,MFG,Manufacturing,hires_rate,2.6,JTS300000000000000HIR
2019-02,MFG,Manufacturing,quits_rate,1.7,JTS300000000000000QUR
2019-02,MFG,Manufacturing,layoffs_discharges_rate,0.8,JTS300000000000000LDR
2019-02,INF,Information,job_openings_rate,4.6,JTS510000000000000JOR
2019-02,INF,Information,hires_rate,3.2,JTS510000000000000HIR
2019-02,INF,Information,quits_rate,1.5,JTS510000000000000QUR
2019-02,INF,Information,layoffs_discharges_rate,1.3,JTS510000000000000LDR
2019-02,FAS,Financial activities,job_openings_rate,3.9,JTS510099000000000JOR
2019-02,FAS,Financial activities,hires_rate,2.3,JTS510099000000000HIR
2019-02,FAS,Financial activities,quits_rate,1.2,JTS510099000000000QUR
2019-02,FAS,Financial activities,layoffs_discharges_rate,0.7,JTS510099000000000LDR
2019-02,PBS,Professional and business services,job_openings_rate,6.1,JTS540099000000000JOR
2019-02,PBS,Professional and business services,hires_rate,5.6,JTS540099000000000HIR
2019-02,PBS,Professional and business services,quits_rate,3.1,JTS540099000000000QUR
2019-02,PBS,Professional and business services,layoffs_discharges_rate,1.9,JTS540099000000000LDR
2019-02,HCS,Health care and social assistance,job_openings_rate,5.2,JTS620000000000000JOR
2019-02,HCS,Health care and social assistance,hires_rate,3.1,JTS620000000000000HIR
2019-02,HCS,Health care and social assistance,quits_rate,2.1,JTS620000000000000QUR
2019-02,HCS,Health care and social assistance,layoffs_discharges_rate,0.7,JTS620000000000000LDR
2019-02,RET,Retail trade,job_openings_rate,4.9,JTS440000000000000JOR
2019-02,RET,Retail trade,hires_rate,4.6,JTS440000000000000HIR
2019-02,RET,Retail trade,quits_rate,3.3,JTS440000000000000QUR
2019-02,RET,Retail trade,layoffs_discharges_rate,1.2,JTS440000000000000LDR
2019-03,MFG,Manufacturing,job_openings_rate,3.3,JTS300000000000000JOR
2019-03,MFG,Manufacturing,hires_rate,2.7,JTS300000000000000HIR
2019-03,MFG,Manufacturing,quits_rate,1.7,JTS300000000000000QUR
