month,sector6_code,sector6_label,ces_payroll_employment_thousands,index_aug2023_100,series_id
2019-01,MFG,Manufacturing,12790.0,99.44794339475935,CES3000000001
2019-01,INF,Information,2842.0,95.33713518953371,CES5000000001
2019-01,FAS,Financial activities,8672.0,94.33264440335037,CES5500000001
2019-01,PBS,Professional and business services,21201.0,93.11753338018272,CES6000000001
2019-01,HCS,Health care and social assistance,23902.0,93.57187597870342,CES6500000001
2019-01,RET,Retail trade,15617.4,100.55501184712064,CES4200000001
2019-02,MFG,Manufacturing,12782.0,99.38573983360547,CES3000000001
2019-02,INF,Information,2843.0,95.37068097953707,CES5000000001
2019-02,FAS,Financial activities,8685.0,94.47405634722071,CES5500000001
2019-02,PBS,Professional and business services,21230.0,93.24490513000703,CES6000000001
2019-02,HCS,Health care and social assistance,23923.0,93.65408706545568,CES6500000001
2019-02,RET,Retail trade,15586.7,100.35734521479344,CES4200000001
2019-03,MFG,Manufacturing,12788.0,99.43239250447088,CES3000000001
2019-03,INF,Information,2849.0,95.5719557195572,CES5000000001
2019-03,FAS,Financial activities,8705.0,94.6916131839443,CES5500000001
2019-03,PBS,Professional and business services,21258.0,93.36788475052705,CES6000000001
2019-03,HCS,Health care and social assistance,23988.0,93.90854995302223,CES6500000001
2019-03,RET,Retail trade,15574.1,100.27621819305656,CES4200000001
2019-04,MFG,Manufacturing,12785.0,99.40906616903817,CES3000000001
2019-04,INF,Information,2846.0,95.47131834954713,CES5000000001
2019-04,FAS,Financial activities,8721.0,94.86565865332318,CES5500000001
2019-04,PBS,Professional and business services,21315.0,93.6182361208714,CES6000000001
2019-04,HCS,Health care and social assistance,24054.0,94.16692765424366,CES6500000001
2019-04,RET,Retail trade,15571.6,100.26012156175956,CES4200000001
2019-05,MFG,Manufacturing,12778.0,99.35463805302854,CES3000000001
2019-05,INF,Information,2858.0,95.87386782958738,CES5000000001
2019-05,FAS,Financial activities,8733.0,94.99619275535733,CES5500000001
2019-05,PBS,Professional and business services,21356.0,93.79831342234716,CES6000000001
2019-05,HCS,Health care and social assistance,24090.0,94.30786094581897,CES6500000001
2019-05,RET,Retail trade,15554.2,100.14808900793241,CES4200000001
2019-06,MFG,Manufacturing,12787.0,99.42461705932665,CES3000000001
2019-06,INF,Information,2875.0,96.44414625964441,CES5000000001
2019-06,FAS,Financial activities,8748.0,95.15936038290003,CES5500000001
2019-06,PBS,Professional and business services,21402.0,94.00035137034435,CES6000000001
2019-06,HCS,Health care and social assistance,24135.0,94.48402756028813,CES6500000001
2019-06,RET,Retail trade,15533.2,100.0128773050376,CES4200000001
2019-07,MFG,Manufacturing,12790.0,99.44794339475935,CES3000000001
2019-07,INF,Information,2866.0,96.14223414961423,CES5000000001
2019-07,FAS,Financial activities,8771.0,95.40955074513217,CES5500000001
2019-07,PBS,Professional and business services,21421.0,94.0838018271258,CES6000000001
2019-07,HCS,Health care and social assistance,24181.0,94.66410898841215,CES6500000001
2019-07,RET,Retail trade,15533.3,100.01352117028948,CES4200000001
2019-08,MFG,Manufacturing,12789.0,99.44016794961512,CES3000000001
2019-08,INF,Information,2865.0,96.10868835961087,CES5000000001
2019-08,FAS,Financial activities,8785.0,95.56184053083868,CES5500000001
2019-08,PBS,Professional and business services,21455.0,94.23313422347154,CES6000000001
2019-08,HCS,Health care and social assistance,24246.0,94.91857187597871,CES6500000001
2019-08,RET,Retail trade,15516.7,99.90663953847738,CES4200000001
2019-09,MFG,Manufacturing,12787.0,99.42461705932665,CES3000000001
2019-09,INF,Information,2871.0,96.30996309963099,CES5000000001
2019-09,FAS,Financial activities,8785.0,95.56184053083868,CES5500000001
2019-09,PBS,Professional and business services,21465.0,94.27705551651441,CES6000000001
2019-09,HCS,Health care and social assistance,24288.0,95.08299404948325,CES6500000001
2019-09,RET,Retail trade,15526.5,99.96973833316163,CES4200000001
2019-10,MFG,Manufacturing,12733.0,99.00474302153798,CES3000000001
2019-10,INF,Information,2874.0,96.41060046964107,CES5000000001
2019-10,FAS,Financial activities,8801.0,95.73588600021755,CES5500000001
2019-10,PBS,Professional and business services,21476.0,94.32536893886156,CES6000000001
