state_code_input,state_abbrev,ai_use_current_rate,missing_ai_current_rate,missing_reason,btos_period_id,period_start_date,strata_type
AK,AK,0.14400000000000002,0,published,95,23-FEB-26 12.00.00.000000 AM,state
AL,AL,0.222,0,published,95,23-FEB-26 12.00.00.000000 AM,state
AR,AR,0.132,0,published,95,23-FEB-26 12.00.00.000000 AM,state
AZ,AZ,0.215,0,published,95,23-FEB-26 12.00.00.000000 AM,state
CA,CA,0.192,0,published,95,23-FEB-26 12.00.00.000000 AM,state
CO,CO,0.222,0,published,95,23-FEB-26 12.00.00.000000 AM,state
CT,CT,0.183,0,published,95,23-FEB-26 12.00.00.000000 AM,state
DC,DC,0.2,0,published,95,23-FEB-26 12.00.00.000000 AM,state
DE,DE,0.16399999999999998,0,published,95,23-FEB-26 12.00.00.000000 AM,state
FL,FL,0.20600000000000002,0,published,95,23-FEB-26 12.00.00.000000 AM,state
GA,GA,0.18600000000000003,0,published,95,23-FEB-26 12.00.00.000000 AM,state
HI,HI,0.21100000000000002,0,published,95,23-FEB-26 12.00.00.000000 AM,state
IA,IA,0.154,0,published,95,23-FEB-26 12.00.00.000000 AM,state
ID,ID,0.165,0,published,95,23-FEB-26 12.00.00.000000 AM,state
IL,IL,0.17300000000000001,0,published,95,23-FEB-26 12.00.00.000000 AM,state
IN,IN,0.154,0,published,95,23-FEB-26 12.00.00.000000 AM,state
KS,KS,0.165,0,published,95,23-FEB-26 12.00.00.000000 AM,state
KY,KY,0.135,0,published,95,23-FEB-26 12.00.00.000000 AM,state
LA,LA,0.128,0,published,95,23-FEB-26 12.00.00.000000 AM,state
MA,MA,0.17600000000000002,0,published,95,23-FEB-26 12.00.00.000000 AM,state
MD,MD,0.18600000000000003,0,published,95,23-FEB-26 12.00.00.000000 AM,state
ME,ME,0.218,0,published,95,23-FEB-26 12.00.00.000000 AM,state
MI,MI,0.146,0,published,95,23-FEB-26 12.00.00.000000 AM,state
MN,MN,0.205,0,published,95,23-FEB-26 12.00.00.000000 AM,state
MO,MO,0.185,0,published,95,23-FEB-26 12.00.00.000000 AM,state
MS,MS,0.11800000000000001,0,published,95,23-FEB-26 12.00.00.000000 AM,state
MT,MT,0.204,0,published,95,23-FEB-26 12.00.00.000000 AM,state
NC,NC,0.18100000000000002,0,published,95,23-FEB-26 12.00.00.000000 AM,state
ND,ND,0.14,0,published,95,23-FEB-26 12.00.00.000000 AM,state
NE,NE,0.183,0,published,95,23-FEB-26 12.00.00.000000 AM,state
NH,NH,0.256,0,published,95,23-FEB-26 12.00.00.000000 AM,state
NJ,NJ,0.171,0,published,95,23-FEB-26 12.00.00.000000 AM,state
NM,NM,0.145,0,published,95,23-FEB-26 12.00.00.000000 AM,state
NV,NV,0.237,0,published,95,23-FEB-26 12.00.00.000000 AM,state
NY,NY,0.159,0,published,95,23-FEB-26 12.00.00.000000 AM,state
OH,OH,0.2,0,published,95,23-FEB-26 12.00.00.000000 AM,state
OK,OK,0.12,0,published,95,23-FEB-26 12.00.00.000000 AM,state
OR,OR,0.168,0,published,95,23-FEB-26 12.00.00.000000 AM,state
PA,PA,0.156,0,published,95,23-FEB-26 12.00.00.000000 AM,state
RI,RI,0.21,0,published,95,23-FEB-26 12.00.00.000000 AM,state
SC,SC,0.205,0,published,95,23-FEB-26 12.00.00.000000 AM,state
SD,SD,,1,no_ai_current_yes_row,95,23-FEB-26 12.00.00.000000 AM,state
TN,TN,0.2,0,published,95,23-FEB-26 12.00.00.000000 AM,state
TX,TX,0.179,0,published,95,23-FEB-26 12.00.00.000000 AM,state
UT,UT,0.268,0,published,95,23-FEB-26 12.00.00.000000 AM,state
VA,VA,0.18600000000000003,0,published,95,23-FEB-26 12.00.00.000000 AM,state
VT,VT,0.151,0,published,95,23-FEB-26 12.00.00.000000 AM,state
WA,WA,0.19,0,published,95,23-FEB-26 12.00.00.000000 AM,state
WI,WI,0.147,0,published,95,23-FEB-26 12.00.00.000000 AM,state
WV,WV,,1,no_ai_current_yes_row,95,23-FEB-26 12.00.00.000000 AM,state
WY,WY,0.15,0,published,95,23-FEB-26 12.00.00.000000 AM,state
