month,origin_group,destination_group,weighted_count,share_of_origin
2026-01,high,high,38067047.4405,0.9486261215148816
2026-01,high,low,522759.76039999997,0.013027108676274768
2026-01,high,middle,611371.231,0.015235295581455558
2026-01,high,nilf,661125.0117,0.016475153652663065
2026-01,high,unemployed,266306.3186,0.006636320574725041
2026-01,low,high,420901.4596,0.012138863429400851
2026-01,low,low,31746293.8645,0.9155680428787748
2026-01,low,middle,664282.7665,0.019158018099322542
2026-01,low,nilf,1396635.2766,0.04027917817021246
2026-01,low,unemployed,445763.80819999997,0.012855897422289278
2026-01,middle,high,760202.7987,0.022040904692584903
2026-01,middle,low,849098.3611,0.024618294070528183
2026-01,middle,middle,31719477.1771,0.9196571948362167
2026-01,middle,nilf,938418.751,0.027208000664948835
2026-01,middle,unemployed,223347.1662,0.00647560573572132
2026-01,nilf,high,630617.5479,0.00869716070463138
2026-01,nilf,low,1273930.4953,0.017569409987163397
2026-01,nilf,middle,823197.5611,0.011353127588010955
2026-01,nilf,nilf,68661449.9302,0.946944255269352
2026-01,nilf,unemployed,1119243.6351,0.01543604645084204
2026-01,unemployed,high,171104.6464,0.032451727455755475
2026-01,unemployed,low,569470.9128,0.10800592061634331
2026-01,unemployed,middle,404234.0603,0.07666707964506232
2026-01,unemployed,nilf,1240384.0045,0.23525137687033948
2026-01,unemployed,unemployed,2887396.1521,0.5476238954124993
