occupation_group,employment,employment_share,median_annual_wage,ai_task_index,ai_relevance_tercile
Protective Service Occupations,3654920,0.0237044043423009,56882,0.745735782797,high
Legal Occupations,1273410,0.0082588471248425,116645,0.826619089073,high
Management Occupations,10966830,0.0711266382501602,120935,0.875932635005,high
Healthcare Practitioners and Technical Occupations,9592720,0.0622146896847199,101242,0.929212677689,high
Architecture and Engineering Occupations,2567220,0.0166500007977306,97911,1.049106518838,high
Business and Financial Operations Occupations,10351430,0.0671353907174504,82895,1.122952065356,high
"Life, Physical, and Social Science Occupations",1446780,0.0093832582147773,82311,1.141665197005,high
Computer and Mathematical Occupations,5192870,0.0336789560857704,108524,1.205667338837,high
Food Preparation and Serving Related Occupations,13613500,0.0882919211676078,34086,-1.886753052634,low
Building and Grounds Cleaning and Maintenance Occupations,4496160,0.0291603631892571,37591,-1.494043420521,low
Personal Care and Service Occupations,3159920,0.0204940248676642,36359,-1.112132497727,low
Transportation and Material Moving Occupations,13645590,0.0885000445561757,46202,-1.109303264754,low
"Farming, Fishing, and Forestry Occupations",440980,0.0028600265469197,39439,-0.870663297139,low
Sales and Related Occupations,13351670,0.0865937925659026,46800,-0.838283671073,low
Construction and Extraction Occupations,6361730,0.0412597321518791,58608,-0.705720322188,low
Production Occupations,8743430,0.0567065216362065,47556,-0.638811743891,middle
"Arts, Design, Entertainment, Sports, and Media Occupations",2098720,0.0136114901232513,62595,-0.264945626533,middle
"Installation, Maintenance, and Repair Occupations",6045030,0.0392057378496216,58080,-0.144418360665,middle
Educational Instruction and Library Occupations,8947690,0.0580312733765889,58528,-0.037040205168,middle
Healthcare Support Occupations,7448000,0.0483048612668559,38882,0.350581478423,middle
Office and Administrative Support Occupations,18218060,0.1181553250337349,47742,0.381202692396,middle
Community and Social Service Occupations,2569640,0.0166656959862733,57893,0.473439986874,middle
